Original_Rank,Person_Name,In_Degree (被追蹤數),Out_Degree (主動追蹤數),Mutual_Follow (互粉數),Network_Influence_Score,ig_url,distinct_following
45,廉傑克曼,40,42,30,40.4,https://www.instagram.com/jaychang0127/,4006
46,關韶文,22,19,17,22.22,https://www.instagram.com/ethan_kuan_kuan/,500
47,Andy老師,29,5,5,29.29,https://www.instagram.com/andy1994x/,57
48,愛里,17,46,16,17.17,https://www.instagram.com/allie.liao/,1318
49,台灣吧,5,15,3,5.05,https://www.instagram.com/taiwan_bar/,176
50,那些電影教我的事,6,1,0,6.06,https://www.instagram.com/lessonsfrommovies/,87
51,PopDaily,6,0,0,6.06,https://www.instagram.com/popdaily/,20
52,三原慧悟-Sanyuan_JAPAN,10,13,8,10.1,https://www.instagram.com/sanyuan_japan/,596
53,Jason-Chen-陳以桐,1,0,0,1.01,https://www.instagram.com/jasondchen/,69
54,Onion-man-洋蔥先生與阿文,36,51,35,36.36,https://www.instagram.com/onionman__/,921
55,阿啾繪圖同萌,6,5,5,6.06,https://www.instagram.com/achusan0817/,639
56,閃電狼Flash-Wolves,1,0,0,1.01,https://www.instagram.com/flashwolves2013/,96
57,白癡公主,43,25,21,43.43,https://www.instagram.com/87acup/,501
58,健人蓋仇,9,17,9,9.09,https://www.instagram.com/gu_yuze/,820
59,Patrick-派翠克,25,14,14,25.25,https://www.instagram.com/patrickliu0721/,563
60,莊酷炫,46,70,45,46.46,https://www.instagram.com/kevin0204660/,4230
61,Six-Wang,19,21,18,19.19,https://www.instagram.com/6tan/,445
62,蘿潔塔的廚房,0,0,0,0.0,https://www.instagram.com/rosalina.kitchen/,36
63,孫生,29,28,20,29.29,https://www.instagram.com/soon6669/,1104
64,超認真少年-I'm-Serious,18,25,16,18.18,https://www.instagram.com/imseriou/,744
65,辣媽Shania,2,3,0,2.02,https://www.instagram.com/lamashania/,412
66,Lilyflute長笛姐姐,1,2,1,1.01,https://www.instagram.com/lilyflute/,433
67,Bonjour-Louis!-我是路易,10,11,7,10.1,https://www.instagram.com/bonjour.louis/,385
68,李恩菲x菲菲,11,12,7,11.11,https://www.instagram.com/aviva_1028/,974
69,羚小鹿,10,8,7,10.1,https://www.instagram.com/daiying0/,625
70,虎麗笑嗨嗨,2,2,2,2.02,https://www.instagram.com/hooleefun/,76
71,林淑芬2.0,2,16,2,2.02,https://www.instagram.com/0_shufen/,542
72,紫玥桃,0,2,0,0.0,https://www.instagram.com/skauramomo/,1689
73,黃山料,3,0,0,3.03,https://www.instagram.com/iam_3636/,1
74,木曜4超玩,16,12,6,16.16,https://www.instagram.com/muyao4/,70
75,妮妮-Nini,22,35,15,22.22,https://www.instagram.com/nini_food0822/,2823
76,魚乾,36,40,31,36.36,https://www.instagram.com/annie72127/,496
77,見習網美小吳,34,34,29,34.34,https://www.instagram.com/beauty___wu/,769
78,艾爾文,3,1,0,3.03,https://www.instagram.com/alvin701/,141
79,志祺七七,26,16,13,26.26,https://www.instagram.com/shasha77.daily/,537
80,欸你這週要幹嘛,22,30,20,22.22,https://www.instagram.com/arielsvlog_816/,472
81,PEETA葛格,24,28,24,24.24,https://www.instagram.com/peeta.gege/,1820
82,咪妃Julia,26,21,21,26.26,https://www.instagram.com/juliamisakii/,572
83,呱吉,31,21,20,31.31,https://www.instagram.com/froggychiu/,719
84,莊政威-Cliff-Chuang,3,2,2,3.03,https://www.instagram.com/cliffchuang3/,198
85,漢娜在翻譯,1,0,0,1.01,https://www.instagram.com/hannainjp/,242
86,Ru's-Piano-Ru味春捲,10,22,10,10.1,https://www.instagram.com/ruruspiano/,693
87,P.LEAGUE,3,0,0,3.03,https://www.instagram.com/p.league.official/,16
88,HahaTai-哈哈台,14,29,12,14.14,https://www.instagram.com/hahatai_official/,1092
89,A力地方媽媽,0,0,0,0.0,https://www.instagram.com/local_mom_ellie/,18
90,Ines-Wang,3,3,2,3.03,https://www.instagram.com/inesinesw/,810
91,豪吃來吃,3,3,3,3.03,https://www.instagram.com/howeat219/,219
92,依梨,2,3,2,2.02,https://www.instagram.com/lebaby0v0/,195
93,周小葳,3,14,1,3.03,https://www.instagram.com/mayukichou/,1746
94,Irene-林艾融,10,14,9,10.1,https://www.instagram.com/irenelin0413/,1279
95,BBpPro-Lin-Ching-Chieh-林敬傑,11,4,4,11.11,https://www.instagram.com/ackj0301_ifbbpro/,328
96,Emma艾瑪,9,11,8,9.09,https://www.instagram.com/xollox121/,943
97,電瀨少女-女孩的科技日常,8,11,6,8.08,https://www.instagram.com/aottergirls/,87
98,喬喬兒Sylvia,5,5,4,5.05,https://www.instagram.com/qqe_52772/,927
99,柴犬Nana和阿楞的一天,6,0,0,6.06,https://www.instagram.com/nana_aleng/,0
100,瑀熙-Yuci,22,22,15,22.22,https://www.instagram.com/uccu0323/,612
